Name,Phone Number,Category,Product,Customer Review (Score),Detailed Review (Product),Email,State,Address,Customer Review (Site),Most Bought,Most Searched,Churning Score
Ranbir Agate,3999627596,Electronics,Laptop,2.2,Loved it! Exactly what I was looking for.,somanfarhan@yahoo.com,Madhya Pradesh,"82/920, Soni Ganj
Mumbai-821350",1.1,Tablet,Laptop,31
Zara Khurana,05136557976,Sports,Football,4.3,Not as described. Disappointed with the quality.,oorja75@reddy-bhalla.com,West Bengal,"07/539, Venkatesh, Chandrapur-256608",1.1,Cricket Bat,Football,77
Nishith Bassi,01419065011,Electronics,Headphones,3.8,"The product is decent, but delivery took too long.",wjha@loke.com,Telangana,"62
Srinivasan Path
Vijayanagaram-919343",2.3,Tablet,Headphones,1
Kartik Wable,7848775005,Clothing,Jacket,3.6,Superb performance! Exceeded my expectations.,wwason@bir.biz,West Bengal,"H.No. 632, Mahal Chowk, Bidar 951753",3.3,Saree,Jacket,79
Ira Chacko,3512535030,Clothing,Jacket,3.3,Great value for money. Will buy again.,rohanapte@sampath.com,Gujarat,"H.No. 144
Dhar Road
Bardhaman-533776",4,Saree,Jeans,74
Ishaan Bhatt,4065254041,Electronics,Headphones,2.4,Amazing features at this price! Highly recommended.,taimur05@khatri-bassi.org,Andhra Pradesh,"935
Ramanathan Chowk
Jalgaon-115803",3.3,Smartphone,Laptop,99
Drishya Bera,9.14569E+11,Home Appliances,Air Conditioner,2.8,Superb performance! Exceeded my expectations.,samairakapur@gmail.com,Madhya Pradesh,"65
Krish Nagar, Kavali 130395",2.1,Refrigerator,Refrigerator,80
Hansh Rattan,04121605410,Home Appliances,Refrigerator,3.6,Average product. Expected better quality.,baiju73@sehgal-arora.info,Kerala,"54/10
Din Path, Bhopal-534467",2.6,Washing Machine,Air Conditioner,26
Dhruv Rout,9.14794E+11,Sports,Badminton Racket,2.2,Loved it! Exactly what I was looking for.,darshit87@dave.com,Jharkhand,"109, Goel Chowk, Kumbakonam 555516",3.5,Badminton Racket,Cricket Bat,3
Ritvik Som,9.11545E+11,Electronics,Smartphone,4.7,Loved it! Exactly what I was looking for.,qmagar@hotmail.com,Tamil Nadu,"79/57, Gopal Path, Rajahmundry 383512",3.9,Tablet,Smartwatch,24
Manikya Bandi,4718889475,Sports,Cricket Bat,4.3,Amazing features at this price! Highly recommended.,drishya68@gmail.com,Himachal Pradesh,"06
Samra Ganj, Morbi-180314",4.7,Cricket Bat,Badminton Racket,0
Farhan Randhawa,09282296218,Home Appliances,Microwave,3.5,Superb performance! Exceeded my expectations.,boranirvi@hotmail.com,Mizoram,"37/813, Shankar Nagar, Muzaffarpur 231596",2.8,Air Conditioner,Refrigerator,94
Raghav Sachdev,0787404391,Books,Comics,2.4,Not as described. Disappointed with the quality.,kariaaina@yahoo.com,Uttarakhand,"H.No. 16, Dhingra
Chandrapur 748733",4.1,Educational,Fiction,85
Vihaan Buch,9.11904E+11,Clothing,Saree,3.2,Loved it! Exactly what I was looking for.,hchoudhary@kala.com,Rajasthan,"85/13
Chokshi Ganj, Avadi 603383",4.6,Shoes,T-shirt,41
Manikya Swamy,0182236874,Clothing,Saree,1.8,Excellent quality! Very satisfied with the purchase.,ahana-comar@sem-lata.com,Haryana,"04/73
Srinivas Street, Malegaon 713802",1.7,Saree,Jeans,0
Mohanlal Ratta,03793602130,Beauty,Perfume,3.9,Not as described. Disappointed with the quality.,bedinitya@gmail.com,Manipur,"H.No. 837
Taneja Chowk
Haldia-664595",3.4,Face Cream,Lipstick,17
Sumer Verma,09668313286,Home Appliances,Washing Machine,2.7,"Works well, but could be improved in durability.",tsibal@chauhan.com,Karnataka,"H.No. 983
Dave Road, Kulti-723600",1.2,Refrigerator,Washing Machine,54
Ahana  Goyal,9.177E+11,Beauty,Lipstick,4.2,"The product is decent, but delivery took too long.",faiyazkohli@das-wali.com,Manipur,"21/64
Kala Circle, Sasaram 945148",3,Perfume,Foundation,31
Kaira Karpe,9.13977E+11,Electronics,Headphones,4.8,Average product. Expected better quality.,dorahridaan@hotmail.com,Bihar,"42/30
Karan Circle, Ghaziabad-751712",3,Smartwatch,Smartwatch,69
Madhup Lad,02771708083,Clothing,Jeans,4.5,Loved it! Exactly what I was looking for.,rati38@madan.com,Haryana,"H.No. 637
Krishnan Street, Bhiwani 815439",3.5,Jacket,T-shirt,32
Nishith Loke,9.19258E+11,Books,Educational,1.9,Poor customer service. The product was damaged on arrival.,drishyaseth@kulkarni.com,Arunachal Pradesh,"H.No. 98
Rout Chowk
Jorhat 293505",2.3,Fiction,Fiction,52
Yakshit De,9.12564E+11,Clothing,Jeans,3.4,"The product is decent, but delivery took too long.",pram@gmail.com,Bihar,"580
Barad
Chinsurah 591080",4.9,Jacket,Jacket,85
Inaaya  Verma,00078968301,Sports,Yoga Mat,2.2,Not as described. Disappointed with the quality.,hunarkunda@hotmail.com,Andhra Pradesh,"H.No. 63
Mangal Zila, Ratlam 662840",1.8,Football,Yoga Mat,27
Mehul Vohra,4228876402,Sports,Cricket Bat,2.5,Poor customer service. The product was damaged on arrival.,veersodhi@yahoo.com,Manipur,"640, Kashyap Street, Ambattur-422301",4.3,Badminton Racket,Football,49
Kashvi Swaminathan,06294812616,Sports,Football,4.1,Superb performance! Exceeded my expectations.,dishanibahl@chaudhari.com,Himachal Pradesh,"H.No. 143
Deo Zila
Guwahati 629068",2.9,Yoga Mat,Badminton Racket,45
Arhaan Yohannan,02649678829,Sports,Yoga Mat,2,Excellent quality! Very satisfied with the purchase.,darshit48@bora-sengupta.com,Assam,"H.No. 923
Bala Zila, Bhiwani-810336",5,Football,Cricket Bat,13
Divyansh Bedi,06606956217,Books,Fiction,3,Average product. Expected better quality.,barmanjayan@gmail.com,Arunachal Pradesh,"060
Ram Chowk, Raichur-133578",4.7,Non-fiction,Non-fiction,70
Aaryahi Venkataraman,07860261131,Clothing,Jacket,2.3,Amazing features at this price! Highly recommended.,gsharma@chaudhuri.com,Rajasthan,"H.No. 141, Agarwal Ganj
Loni 244660",1.8,Jacket,Jeans,42
Diya Hayer,03400440346,Clothing,T-shirt,2.4,Poor customer service. The product was damaged on arrival.,qmand@manda-deol.biz,Kerala,"H.No. 64
Jaggi
Bhimavaram-788246",1.6,Jeans,Jeans,97
Dhanush Kumer,3522334238,Sports,Football,1.9,Average product. Expected better quality.,dishaniratti@chopra.net,Telangana,"06/82
Brar Street
Bangalore-235606",3.7,Cricket Bat,Badminton Racket,41
Vanya Choudhary,09518768897,Clothing,Saree,1.6,Loved it! Exactly what I was looking for.,saanvikala@deshpande.com,Telangana,"28/51
Kuruvilla Zila
Kollam 248474",3.9,Shoes,Jacket,9
Baiju Singh,4511004033,Home Appliances,Air Conditioner,3.9,"The product is decent, but delivery took too long.",amani@dutt.com,Telangana,"94/67
Kadakia Circle
Srinagar-168248",3.3,Refrigerator,Air Conditioner,21
Mannat Sawhney,9.16687E+11,Sports,Cricket Bat,3.9,Excellent quality! Very satisfied with the purchase.,tamble@hayre.com,Nagaland,"787
Goda Marg
Bidar-103920",3.3,Football,Cricket Bat,11
Ranbir Lad,00735270972,Sports,Cricket Bat,2.6,Poor customer service. The product was damaged on arrival.,bhavinbhardwaj@joshi-tripathi.net,Andhra Pradesh,"H.No. 39
Sachdev Chowk
Ramgarh 140776",2.3,Yoga Mat,Football,77
Rhea Anand,0923126961,Sports,Cricket Bat,2.1,Superb performance! Exceeded my expectations.,kuruvillaheer@wadhwa-vyas.com,Manipur,"683
Chandra Nagar, Imphal 444737",2.3,Cricket Bat,Cricket Bat,83
Divit Kapur,5687004715,Electronics,Smartwatch,2.5,Loved it! Exactly what I was looking for.,shlok61@gmail.com,Karnataka,"921
Wali Marg
Meerut 028505",4,Laptop,Laptop,96
Reyansh Sethi,4167773902,Books,Fiction,4.5,Average product. Expected better quality.,mohanlalkashyap@yahoo.com,Uttarakhand,"H.No. 534
Mall Ganj
Tenali-646422",3.4,Non-fiction,Educational,61
Baiju Gaba,03925405430,Beauty,Perfume,3.4,Average product. Expected better quality.,miraya14@yahoo.com,Assam,"061
Vohra Ganj, Arrah-669390",4.9,Face Cream,Lipstick,46
Suhana Gill,5461341600,Books,Educational,4.8,"The product is decent, but delivery took too long.",tusharsekhon@gmail.com,Nagaland,"75/07
Bassi Marg
Dindigul-620485",3.3,Educational,Comics,89
Nitara Kala,09575984531,Sports,Badminton Racket,4.3,Not as described. Disappointed with the quality.,emir60@bakshi.com,Mizoram,"16/963
Ramachandran Road
Srinagar-735167",2.7,Yoga Mat,Badminton Racket,87
Raghav Datta,05519903847,Home Appliances,Microwave,3.5,Not as described. Disappointed with the quality.,guptasahil@gmail.com,Assam,"45
Dara Path, Malda 610244",4.1,Air Conditioner,Microwave,13
Jhanvi Vaidya,9.10734E+11,Home Appliances,Microwave,5,Amazing features at this price! Highly recommended.,ira06@gmail.com,Andhra Pradesh,"072
Agate Street
Noida-123389",3,Washing Machine,Air Conditioner,46
Mohanlal Bassi,9.15001E+11,Books,Educational,4.6,Poor customer service. The product was damaged on arrival.,khannahunar@cheema-sarkar.biz,Tripura,"02/060
Gola Chowk
Kakinada 219253",1.3,Fiction,Comics,59
Ishaan Sankaran,01667089804,Beauty,Lipstick,2.4,"The product is decent, but delivery took too long.",evadubey@deol.info,Goa,"25
Kata Circle, Pali-533775",3.8,Face Cream,Perfume,77
Charvi Iyer,08598604644,Books,Non-fiction,4.2,Loved it! Exactly what I was looking for.,mannatswaminathan@goyal-bora.com,Manipur,"H.No. 739, Sekhon Zila, Sambhal 178146",4.9,Fiction,Fiction,97
Biju Majumdar,9.14613E+11,Beauty,Perfume,1.9,Not as described. Disappointed with the quality.,acharyauthkarsh@hotmail.com,Assam,"H.No. 828
Karnik Road, Patiala 647018",4.9,Perfume,Face Cream,47
Lavanya Goyal,9.11083E+11,Sports,Cricket Bat,4,Great value for money. Will buy again.,samarth03@hotmail.com,Tripura,"21/90, Chaudry Chowk
Amravati 394925",1.9,Yoga Mat,Badminton Racket,55
Sara Khatri,7848188599,Electronics,Laptop,3.4,Loved it! Exactly what I was looking for.,krish08@gmail.com,Telangana,"H.No. 69, Batra Chowk
Dewas 926896",3.2,Tablet,Headphones,92
Saanvi Chad,06949294974,Home Appliances,Microwave,2.8,"The product is decent, but delivery took too long.",butalaindranil@yahoo.com,Meghalaya,"H.No. 92, Wali Marg, Suryapet 487624",3.3,Refrigerator,Refrigerator,24
Amani Singh,0683364060,Sports,Yoga Mat,4.4,"Works well, but could be improved in durability.",bchatterjee@ram.com,Sikkim,"H.No. 72
Brahmbhatt Circle
Jalna-022570",1.3,Football,Badminton Racket,78
Siya Bali,1805182219,Home Appliances,Washing Machine,3.8,"The product is decent, but delivery took too long.",ramachandranonkar@sehgal-saxena.biz,Meghalaya,"H.No. 89
Gola Chowk, Baranagar 543732",3.6,Microwave,Microwave,95
Mishti Dhar,5320734197,Books,Educational,3.1,Excellent quality! Very satisfied with the purchase.,omammen@agate-lad.org,Uttar Pradesh,"74/813
Bahl Marg
Bhavnagar-101375",2.8,Educational,Non-fiction,87
Arhaan Vohra,9.13931E+11,Clothing,T-shirt,1.7,Not as described. Disappointed with the quality.,manikyaben@tripathi-vasa.com,Haryana,"25/61, Bhavsar Nagar
Kottayam 764548",4.4,Jacket,Jacket,3
Zaina Rattan,07709498071,Books,Non-fiction,3,Great value for money. Will buy again.,trivedianya@bhattacharyya.com,Bihar,"H.No. 22
Kakar Street
Khora  484675",4.3,Educational,Fiction,87
Samaira Tella,0978869052,Electronics,Tablet,1.1,Average product. Expected better quality.,karinitya@yahoo.com,Mizoram,"00/730
Rege Nagar
Bhubaneswar-192079",1.4,Smartphone,Tablet,92
Khushi Bath,9.12944E+11,Home Appliances,Air Conditioner,4.7,Excellent quality! Very satisfied with the purchase.,anvi72@hotmail.com,Tamil Nadu,"943, Salvi Marg, Alwar-513435",2.9,Microwave,Washing Machine,32
Lavanya Badami,9.1775E+11,Home Appliances,Refrigerator,4.3,Amazing features at this price! Highly recommended.,aradhyasathe@majumdar.com,Karnataka,"H.No. 20, Jha Road, Gandhidham-265144",4.3,Refrigerator,Air Conditioner,66
Prerak Chakrabarti,9.12809E+11,Electronics,Smartwatch,2.7,Not as described. Disappointed with the quality.,mamootysehgal@chawla.net,Manipur,"86, Varty Street
Aizawl 891698",3.3,Smartphone,Laptop,55
Reyansh Raj,05156886075,Electronics,Smartwatch,1.6,Not as described. Disappointed with the quality.,obhattacharyya@yohannan.org,Himachal Pradesh,"H.No. 28, Chaudry Street
Karawal Nagar 051270",4,Laptop,Headphones,79
Manjari Majumdar,09582018787,Home Appliances,Refrigerator,2.7,Excellent quality! Very satisfied with the purchase.,dayalira@saraf.com,Gujarat,"40/917
Sura Street
Faridabad-660949",3.5,Refrigerator,Refrigerator,73
Ira Gokhale,4680019877,Electronics,Smartphone,2.8,"Works well, but could be improved in durability.",chadahridaan@hayre-bhalla.biz,Madhya Pradesh,"H.No. 404, Kuruvilla Road
Machilipatnam 366486",1.3,Laptop,Smartwatch,70
Anahita Bora,9.10835E+11,Sports,Badminton Racket,2.7,Average product. Expected better quality.,lagan89@yahoo.com,Tamil Nadu,"H.No. 93, Bassi Ganj, Imphal-634887",1.1,Cricket Bat,Badminton Racket,17
Divij Bhagat,01208172092,Clothing,T-shirt,4.1,Average product. Expected better quality.,tsetty@edwin.com,Rajasthan,"97/36
Kalla Zila, Jamnagar 198415",4.8,Shoes,Jacket,68
Yashvi Bobal,9.12055E+11,Beauty,Perfume,1.1,Poor customer service. The product was damaged on arrival.,balakrishnanhrishita@dutt.com,Arunachal Pradesh,"H.No. 979
Jayaraman Ganj, Karawal Nagar-444932",1.2,Foundation,Perfume,4
Shayak Kota,9.15568E+11,Electronics,Headphones,4.4,Loved it! Exactly what I was looking for.,kapurneysa@rama.com,Uttarakhand,"793
Shenoy Road, Bangalore 160111",2,Laptop,Smartphone,98
Fateh Khosla,8498360389,Clothing,Shoes,4.8,Great value for money. Will buy again.,samar05@yahoo.com,Sikkim,"H.No. 794
Divan Zila, Kottayam 694365",3.5,Jacket,T-shirt,62
Dhanush Bora,2209290980,Beauty,Foundation,2.3,Superb performance! Exceeded my expectations.,yadavdhanuk@hotmail.com,Goa,"H.No. 04, Dasgupta Nagar
Kadapa 221765",1.4,Lipstick,Foundation,21
Armaan Wagle,9.1998E+11,Home Appliances,Refrigerator,3.5,"The product is decent, but delivery took too long.",lakshay44@gmail.com,Meghalaya,"85/28, Kade Path
Guna-326599",1.8,Air Conditioner,Microwave,79
Kimaya Sachdeva,8455706473,Electronics,Smartphone,4.4,Not as described. Disappointed with the quality.,fsharma@edwin-dash.info,Assam,"43/882, Chandra Ganj, Vijayanagaram-528737",4,Headphones,Smartwatch,59
Divij Dhaliwal,9.11077E+11,Sports,Football,1.3,Average product. Expected better quality.,ritvik55@gmail.com,Arunachal Pradesh,"94/73
Biswas Chowk
Darbhanga-174485",2.3,Cricket Bat,Yoga Mat,50
Prerak Savant,00903842318,Electronics,Headphones,4.4,Excellent quality! Very satisfied with the purchase.,dharmajanjoshi@sule.net,Mizoram,"59/045
Gara
Kolkata 299676",1.2,Tablet,Headphones,46
Lagan Mani,9.17072E+11,Home Appliances,Washing Machine,3.4,Not as described. Disappointed with the quality.,amira10@mannan-chad.com,Mizoram,"196
Tank Circle, Saharsa-436448",3.1,Air Conditioner,Air Conditioner,94
Advik Sachdeva,2956792133,Books,Educational,2,Excellent quality! Very satisfied with the purchase.,kaira48@hotmail.com,Tamil Nadu,"H.No. 707
Suri
Nagercoil 357557",2,Educational,Comics,89
Nishith Venkatesh,9.12929E+11,Sports,Cricket Bat,5,Superb performance! Exceeded my expectations.,fdey@hotmail.com,Manipur,"013
Gupta Ganj, Mirzapur-720072",4,Cricket Bat,Cricket Bat,27
Baiju Raju,9.11771E+11,Electronics,Headphones,2.1,Great value for money. Will buy again.,banikayesha@yahoo.com,Telangana,"H.No. 473, Dhar Nagar, Tezpur-976070",4.9,Laptop,Headphones,46
Ahana  Mahal,9.12654E+11,Beauty,Face Cream,2.8,Excellent quality! Very satisfied with the purchase.,romil70@gmail.com,Goa,"82/68
Chander Zila, Bhubaneswar-287923",2.2,Perfume,Face Cream,32
Nayantara Suresh,1771118958,Beauty,Lipstick,2.9,Excellent quality! Very satisfied with the purchase.,edevi@sankar.com,Andhra Pradesh,"H.No. 718, Mani
Nellore-585287",1.4,Lipstick,Face Cream,18
Azad Sethi,9.14526E+11,Electronics,Laptop,4.2,"Works well, but could be improved in durability.",darshit77@lad.com,West Bengal,"H.No. 365, Atwal Path, Panipat-879346",2.5,Smartphone,Laptop,62
Saira Dara,9.12058E+11,Books,Educational,2.6,Poor customer service. The product was damaged on arrival.,orana@yahoo.com,Himachal Pradesh,"H.No. 697
Subramaniam Zila
Mau 413780",4.9,Non-fiction,Educational,74
Samar Chowdhury,9.19019E+11,Clothing,Saree,2.9,Loved it! Exactly what I was looking for.,samarth24@sane-lala.info,Madhya Pradesh,"H.No. 495, Ganesan Street
Nangloi Jat-543932",4.6,Jeans,Shoes,8
Zara Rout,04332996189,Home Appliances,Air Conditioner,4.2,Not as described. Disappointed with the quality.,anay22@hotmail.com,Jharkhand,"12/636
Lalla Zila, Orai-977183",2.5,Microwave,Refrigerator,22
Vardaniya Toor,9.19077E+11,Books,Educational,4.3,Amazing features at this price! Highly recommended.,tarangarg@hotmail.com,Assam,"83/28, Bhavsar Path, Siliguri-471742",2.8,Comics,Non-fiction,80
Keya Mandal,9.14041E+11,Home Appliances,Air Conditioner,4.3,"Works well, but could be improved in durability.",ojas90@sandhu.com,Bihar,"H.No. 346
Baria Ganj
Bhalswa Jahangir Pur-611748",2.1,Air Conditioner,Microwave,71
Riya Mangal,9.11235E+11,Clothing,T-shirt,1.6,Great value for money. Will buy again.,ranbir53@yahoo.com,Odisha,"673, Kashyap
Tezpur 897876",3.1,Saree,Jacket,64
Ishita Saha,2793556172,Electronics,Smartphone,4.6,Excellent quality! Very satisfied with the purchase.,jahluwalia@wable.info,Telangana,"H.No. 60
Hayer Marg
Khammam-987288",3.7,Laptop,Smartphone,67
Raghav Kapur,6929681260,Clothing,Shoes,4.4,Average product. Expected better quality.,dhanush95@gmail.com,Tamil Nadu,"13
Datta Zila, Gandhinagar-864839",4.9,Shoes,Saree,73
Alia Thakkar,09794908040,Electronics,Smartwatch,2.3,"Works well, but could be improved in durability.",piya52@chaudhary.com,Tripura,"511
Agarwal Ganj, Mysore-887129",1.4,Smartwatch,Smartphone,77
Adah Sarna,07169649168,Books,Educational,4.5,"Works well, but could be improved in durability.",lgoyal@gmail.com,Tripura,"03
Lanka Street, Gorakhpur 656775",3.7,Educational,Non-fiction,76
Vardaniya Karan,9.17145E+11,Beauty,Perfume,3,Amazing features at this price! Highly recommended.,jivin02@gmail.com,Maharashtra,"H.No. 46
Hora, Vijayawada 840634",4,Perfume,Lipstick,18
Kavya Gour,9.10246E+11,Home Appliances,Air Conditioner,1.3,Superb performance! Exceeded my expectations.,vigbiju@sandhu-mangat.com,Mizoram,"H.No. 683, Sankaran
Alappuzha 945644",3.8,Air Conditioner,Air Conditioner,52
Vritika Hans,9.15105E+11,Sports,Badminton Racket,2,Excellent quality! Very satisfied with the purchase.,armaan30@yahoo.com,Punjab,"95/35, Koshy Street
Siwan 432736",3.8,Badminton Racket,Badminton Racket,48
Manikya Lal,07281059270,Books,Comics,1.4,"The product is decent, but delivery took too long.",ivana74@gmail.com,Chhattisgarh,"H.No. 82
Banerjee Ganj
Dhanbad 024332",1.8,Comics,Educational,36
Nehmat Warrior,9.17926E+11,Books,Fiction,2.4,"The product is decent, but delivery took too long.",shayakbandi@gmail.com,Odisha,"10/38
Dhaliwal Nagar, Agra 467607",3.5,Educational,Comics,22
Onkar Dayal,9.17593E+11,Beauty,Perfume,4.4,Excellent quality! Very satisfied with the purchase.,tara81@balakrishnan.com,Himachal Pradesh,"07/69, Tella
Kulti 079192",2.4,Perfume,Foundation,58
Lavanya Agate,03082413375,Electronics,Tablet,3.9,Poor customer service. The product was damaged on arrival.,baradtaran@khosla-saha.com,Meghalaya,"46/292, Sangha Chowk
Saharanpur-075606",4.5,Tablet,Smartphone,7
Anvi Edwin,07535985473,Books,Educational,2.6,Excellent quality! Very satisfied with the purchase.,srivastavarania@chaudhuri-jaggi.biz,Sikkim,"15/331, Lal Zila
Bardhaman-543465",3.7,Fiction,Comics,16
Dishani Batra,4825799912,Sports,Badminton Racket,4.9,Not as described. Disappointed with the quality.,fsarna@sheth-shetty.net,Punjab,"24/74, Walia
Motihari 281955",3.3,Football,Cricket Bat,66
Bhavin Warrior,07100327389,Books,Educational,4,Amazing features at this price! Highly recommended.,kadakiaaaina@tiwari-dey.biz,Sikkim,"H.No. 720
Thakkar Road
Nizamabad-552394",2.6,Non-fiction,Non-fiction,12
Tiya Malhotra,06409833491,Books,Comics,3.8,Loved it! Exactly what I was looking for.,heerbalan@ranganathan.com,Uttar Pradesh,"513, Aggarwal Nagar
Belgaum 064723",1.2,Comics,Non-fiction,26
Nirvaan Lall,9.18958E+11,Clothing,Shoes,1.1,Not as described. Disappointed with the quality.,umangramachandran@hotmail.com,Manipur,"322
Sachdev Road
Kavali-640444",3,Shoes,Jeans,52
Raunak Dani,5764056741,Beauty,Lipstick,4,"The product is decent, but delivery took too long.",hanshbaria@yahoo.com,Himachal Pradesh,"27/296, Boase Chowk, Dharmavaram 770608",2.5,Face Cream,Foundation,20
Baiju Bath,9.15198E+11,Sports,Cricket Bat,3,"Works well, but could be improved in durability.",lavanyathaman@yahoo.com,Arunachal Pradesh,"817, Vasa Ganj, Mahbubnagar 567059",2.2,Yoga Mat,Yoga Mat,59
Nitya Choudhary,9.13038E+11,Books,Comics,3.5,Amazing features at this price! Highly recommended.,sahil77@gmail.com,Uttar Pradesh,"407, Sethi Marg, Nagercoil 612264",1.2,Fiction,Educational,82
Lakshay Bajaj,9.13998E+11,Electronics,Laptop,4,Loved it! Exactly what I was looking for.,jhaverikiara@gala.com,Telangana,"H.No. 29
Saha Ganj
Motihari 185758",1.3,Smartphone,Tablet,8
Adira Buch,9.11225E+11,Electronics,Laptop,4.4,Poor customer service. The product was damaged on arrival.,qchacko@gmail.com,Arunachal Pradesh,"49/19
Varghese Street, Karaikudi 265255",2.2,Laptop,Smartwatch,86
Lagan Das,5722964778,Books,Comics,2.2,Excellent quality! Very satisfied with the purchase.,gatik65@doshi.com,Odisha,"978
Cheema Marg, Gaya-039467",1.9,Fiction,Educational,58
Jayan Master,07020898659,Beauty,Lipstick,1.3,Average product. Expected better quality.,kimayakari@hotmail.com,Gujarat,"95/888
Srivastava Marg
Burhanpur-063650",1.1,Perfume,Lipstick,70
Zoya Andra,9.16902E+11,Sports,Football,3.9,Superb performance! Exceeded my expectations.,bhaminiborra@yahoo.com,Bihar,"05, Mallick Ganj, South Dumdum 076591",1.5,Badminton Racket,Badminton Racket,55
Kashvi Chauhan,9743841852,Books,Comics,4.7,Not as described. Disappointed with the quality.,suhanasabharwal@keer.com,Punjab,"H.No. 934, Bandi, Ahmedabad-171433",3.3,Fiction,Fiction,11
Ishita Bandi,05327119456,Books,Comics,3.2,Loved it! Exactly what I was looking for.,ysachar@mand-dhillon.com,Haryana,"68/433
Wali Circle
Mangalore-657673",3.5,Fiction,Educational,99
Manjari Goyal,07328660267,Electronics,Smartwatch,4.8,Not as described. Disappointed with the quality.,veer06@gmail.com,Uttarakhand,"59
Sahota Nagar, Kamarhati 337088",1.6,Laptop,Tablet,85
Charvi Solanki,9.14258E+11,Electronics,Headphones,4.8,"The product is decent, but delivery took too long.",azad45@din-sibal.info,Madhya Pradesh,"46, Thakur Zila
Junagadh 547350",5,Tablet,Laptop,75
Nishith Warrior,8435499429,Clothing,Jacket,3.5,"Works well, but could be improved in durability.",vidur89@rama.com,Kerala,"H.No. 209
Mahal Path, Tenali-296530",3.1,Saree,Jeans,93
Parinaaz Thakkar,9.11049E+11,Electronics,Tablet,3.8,Loved it! Exactly what I was looking for.,vedika77@gmail.com,Goa,"40, Talwar Street
Ramagundam 201269",3.7,Smartwatch,Tablet,28
Keya Divan,9.1561E+11,Beauty,Face Cream,2.3,Poor customer service. The product was damaged on arrival.,krishcontractor@suri-krishnan.net,Haryana,"828, Chopra
Sagar-408601",2.2,Perfume,Foundation,50
Kavya Shan,07739141661,Beauty,Face Cream,1.3,"The product is decent, but delivery took too long.",ikaur@tak.net,Jharkhand,"H.No. 13, Gupta Path, Belgaum-526373",3.5,Foundation,Lipstick,85
Kavya Sawhney,4438408770,Electronics,Smartwatch,3.6,"The product is decent, but delivery took too long.",dbahl@lanka.com,Maharashtra,"20
Vyas Road, Gandhidham 913484",4.1,Smartwatch,Headphones,20
Indrans Shere,01953862368,Books,Comics,1.5,Loved it! Exactly what I was looking for.,walivritika@master.info,Assam,"H.No. 55, Sarin Marg, Moradabad 863358",1.4,Comics,Fiction,26
Indranil Jha,08052402864,Electronics,Smartwatch,3.9,"Works well, but could be improved in durability.",yakshit66@yahoo.com,Tripura,"28
Sachar Nagar
Mumbai 411085",4.9,Laptop,Tablet,38
Charvi Singh,9.15541E+11,Home Appliances,Air Conditioner,1.4,Loved it! Exactly what I was looking for.,sagarnakul@yahoo.com,Rajasthan,"563
Kakar Ganj
Raebareli 769817",4.1,Air Conditioner,Air Conditioner,35
Riya Sha,1011647370,Home Appliances,Microwave,2.8,Superb performance! Exceeded my expectations.,pari31@buch.com,Manipur,"H.No. 27
Kurian Circle, Jamalpur 866849",2.8,Air Conditioner,Refrigerator,54
