Name,Email,Number,Most Bought,Most Searched,Churning,Review of Product
Alice,alice38@yahoo.com,+17218886480,Phone,Gaming laptop,Yes,"Excellent product, highly recommend!"
David,david39@outlook.com,+18401771510,Headphones,Wireless headphones,Yes,Best purchase ever!
Charlie,charlie40@yahoo.com,+11182856377,Headphones,Wireless headphones,Yes,"Excellent product, highly recommend!"
Bob,bob41@yahoo.com,+11650250528,Headphones,Smartwatch,Yes,"Works perfectly, will buy again."
Charlie,charlie42@hotmail.com,+19954503776,Shoes,Gaming laptop,Yes,"Excellent product, highly recommend!"
Liam,liam43@yahoo.com,+13411740878,Laptop,Gaming laptop,Yes,"Works perfectly, will buy again."
Liam,liam44@outlook.com,+17201434782,Phone,Best phone,Yes,"Excellent product, highly recommend!"
David,david45@hotmail.com,+18308555045,Bag,Best phone,Yes,"Average quality, expected better."
Alice,alice46@outlook.com,+14937024281,Laptop,Gaming laptop,Yes,"Defective piece, had to return."
Charlie,charlie47@gmail.com,+17740787283,Laptop,Running shoes,No,"Works perfectly, will buy again."
Noah,noah48@yahoo.com,+17885134355,Watch,Wireless headphones,No,"Good quality, but delivery was slow."
Noah,noah49@yahoo.com,+13426274048,Headphones,Smartwatch,No,"Average quality, expected better."
Bob,bob50@gmail.com,+14193250535,Watch,Running shoes,Yes,"Defective piece, had to return."
Bob,bob51@yahoo.com,+17184502003,Headphones,Smartwatch,Yes,"Works perfectly, will buy again."
Sophia,sophia52@outlook.com,+12595350873,Shoes,Smartwatch,No,Great value for money!
Noah,noah53@yahoo.com,+15135539545,Watch,Smartwatch,Yes,Not worth the price.
Noah,noah54@hotmail.com,+13805576544,Laptop,Running shoes,Yes,"Works perfectly, will buy again."
David,david55@hotmail.com,+18419838245,Laptop,Running shoes,No,"Works perfectly, will buy again."
Bob,bob56@gmail.com,+19271780735,Bag,Best phone,Yes,"Defective piece, had to return."
Sophia,sophia57@gmail.com,+12174478548,Shoes,Gaming laptop,No,"Good quality, but delivery was slow."
Liam,liam58@gmail.com,+11284892374,Watch,Wireless headphones,No,"Works perfectly, will buy again."
David,david59@gmail.com,+15066925319,Watch,Best phone,Yes,"Average quality, expected better."
Bob,bob60@gmail.com,+19058200631,Laptop,Gaming laptop,Yes,"Average quality, expected better."
David,david61@gmail.com,+15639034804,Watch,Wireless headphones,Yes,"Defective piece, had to return."
Sophia,sophia62@hotmail.com,+18127997368,Watch,Gaming laptop,No,"Average quality, expected better."
Emma,emma63@yahoo.com,+18602480138,Headphones,Gaming laptop,No,"Good quality, but delivery was slow."
David,david64@gmail.com,+19942999146,Phone,Best phone,Yes,"Good quality, but delivery was slow."
Sophia,sophia65@outlook.com,+14757197961,Laptop,Best phone,Yes,"Works perfectly, will buy again."
Bob,bob66@yahoo.com,+15149222640,Headphones,Gaming laptop,Yes,Not worth the price.
Bob,bob67@outlook.com,+18891651580,Laptop,Gaming laptop,No,"Works perfectly, will buy again."
David,david68@outlook.com,+15703065141,Shoes,Gaming laptop,No,"Works perfectly, will buy again."
Charlie,charlie69@hotmail.com,+17986783342,Bag,Gaming laptop,No,"Defective piece, had to return."
Emma,emma70@hotmail.com,+17735085736,Phone,Smartwatch,No,Not worth the price.
Bob,bob71@hotmail.com,+16605289223,Headphones,Wireless headphones,Yes,"Defective piece, had to return."
Emma,emma72@outlook.com,+13482834343,Phone,Best phone,Yes,"Excellent product, highly recommend!"
Sophia,sophia73@gmail.com,+16422023203,Laptop,Running shoes,No,Great value for money!
Noah,noah74@hotmail.com,+15889801838,Bag,Smartwatch,Yes,"Average quality, expected better."
Liam,liam75@hotmail.com,+14046310393,Headphones,Running shoes,Yes,Best purchase ever!
David,david76@gmail.com,+13840567582,Bag,Running shoes,Yes,"Good quality, but delivery was slow."
Noah,noah77@hotmail.com,+11766041618,Phone,Smartwatch,No,"Works perfectly, will buy again."
Noah,noah78@yahoo.com,+14964595276,Headphones,Gaming laptop,No,Not worth the price.
Noah,noah79@yahoo.com,+19768325004,Shoes,Wireless headphones,No,"Works perfectly, will buy again."
David,david80@hotmail.com,+12378275971,Shoes,Gaming laptop,Yes,"Average quality, expected better."
Charlie,charlie81@gmail.com,+18483719295,Headphones,Running shoes,Yes,Not worth the price.
Charlie,charlie82@outlook.com,+15085115919,Headphones,Best phone,No,Best purchase ever!
David,david83@outlook.com,+15726889953,Shoes,Running shoes,No,"Good quality, but delivery was slow."
Bob,bob84@gmail.com,+19338019473,Laptop,Gaming laptop,Yes,Not worth the price.
Liam,liam85@yahoo.com,+18780269094,Laptop,Wireless headphones,No,Great value for money!
Alice,alice86@outlook.com,+13018944659,Headphones,Running shoes,No,"Excellent product, highly recommend!"
Sophia,sophia87@outlook.com,+18563524964,Headphones,Running shoes,No,Great value for money!
Noah,noah88@yahoo.com,+12449501500,Phone,Best phone,No,"Defective piece, had to return."
David,david89@yahoo.com,+12582974804,Headphones,Best phone,Yes,"Works perfectly, will buy again."
Bob,bob90@outlook.com,+17159782940,Bag,Smartwatch,Yes,"Excellent product, highly recommend!"
Emma,emma91@hotmail.com,+19034403072,Watch,Smartwatch,Yes,Not worth the price.
Charlie,charlie92@gmail.com,+17248009099,Laptop,Best phone,Yes,"Defective piece, had to return."
Noah,noah93@yahoo.com,+16684395639,Headphones,Smartwatch,Yes,"Works perfectly, will buy again."
Emma,emma94@gmail.com,+19347556467,Phone,Smartwatch,Yes,"Average quality, expected better."
Sophia,sophia95@hotmail.com,+19633375425,Bag,Wireless headphones,Yes,"Defective piece, had to return."
Liam,liam96@hotmail.com,+11186099991,Phone,Wireless headphones,No,Great value for money!
Noah,noah97@hotmail.com,+13202449334,Watch,Gaming laptop,Yes,Great value for money!
David,david98@gmail.com,+15310921196,Bag,Smartwatch,No,"Average quality, expected better."
David,david99@outlook.com,+11006505627,Laptop,Best phone,Yes,Not worth the price.
Alice,alice100@hotmail.com,+11626412152,Shoes,Best phone,Yes,"Good quality, but delivery was slow."
Sophia,sophia101@gmail.com,+14809382659,Watch,Best phone,Yes,"Defective piece, had to return."
Bob,bob102@outlook.com,+16582045710,Shoes,Gaming laptop,No,"Good quality, but delivery was slow."
Bob,bob103@hotmail.com,+16522850300,Laptop,Smartwatch,Yes,Great value for money!
Noah,noah104@gmail.com,+12258258903,Headphones,Best phone,No,Best purchase ever!
Charlie,charlie105@hotmail.com,+19186990804,Shoes,Best phone,No,Great value for money!
Alice,alice106@yahoo.com,+12562367681,Bag,Wireless headphones,No,Not worth the price.
Sophia,sophia107@hotmail.com,+14506881973,Shoes,Running shoes,Yes,"Average quality, expected better."
Bob,bob108@gmail.com,+11538045108,Laptop,Running shoes,Yes,Best purchase ever!
Emma,emma109@yahoo.com,+13424759142,Headphones,Best phone,No,Not worth the price.
Alice,alice110@gmail.com,+14272943592,Watch,Wireless headphones,No,"Good quality, but delivery was slow."
Alice,alice111@outlook.com,+13096478310,Phone,Running shoes,Yes,"Good quality, but delivery was slow."
Liam,liam112@yahoo.com,+16249741215,Watch,Wireless headphones,No,"Good quality, but delivery was slow."
Noah,noah113@gmail.com,+19383482711,Bag,Wireless headphones,Yes,Great value for money!
Bob,bob114@gmail.com,+16833018881,Phone,Wireless headphones,No,"Defective piece, had to return."
Sophia,sophia115@yahoo.com,+13918387807,Watch,Smartwatch,Yes,"Excellent product, highly recommend!"
Charlie,charlie116@yahoo.com,+18897733101,Watch,Running shoes,Yes,"Excellent product, highly recommend!"
Charlie,charlie117@gmail.com,+16930995876,Phone,Best phone,Yes,"Good quality, but delivery was slow."
Noah,noah118@gmail.com,+12250000696,Shoes,Running shoes,No,"Excellent product, highly recommend!"
Bob,bob119@yahoo.com,+11893959997,Shoes,Best phone,No,Best purchase ever!
Bob,bob120@gmail.com,+13355248262,Bag,Gaming laptop,No,Not worth the price.
Liam,liam121@hotmail.com,+18012651840,Phone,Gaming laptop,Yes,Best purchase ever!
Noah,noah122@yahoo.com,+16317179385,Headphones,Best phone,No,"Works perfectly, will buy again."
Emma,emma123@hotmail.com,+11241397561,Shoes,Gaming laptop,No,"Good quality, but delivery was slow."
Charlie,charlie124@hotmail.com,+14294033475,Phone,Best phone,No,"Average quality, expected better."
Noah,noah125@gmail.com,+15671554463,Headphones,Running shoes,No,"Average quality, expected better."
Alice,alice126@gmail.com,+14595604227,Phone,Running shoes,Yes,"Works perfectly, will buy again."
Charlie,charlie127@outlook.com,+18113321088,Watch,Wireless headphones,Yes,Best purchase ever!
Liam,liam128@outlook.com,+16854984228,Watch,Smartwatch,No,"Works perfectly, will buy again."
Bob,bob129@outlook.com,+13439164910,Phone,Smartwatch,No,"Defective piece, had to return."
Bob,bob130@yahoo.com,+14966032041,Phone,Best phone,No,Great value for money!
Liam,liam131@outlook.com,+12671886486,Watch,Smartwatch,No,"Defective piece, had to return."
Bob,bob132@hotmail.com,+12264527327,Shoes,Gaming laptop,Yes,"Good quality, but delivery was slow."
Noah,noah133@yahoo.com,+19838025697,Laptop,Smartwatch,Yes,Best purchase ever!
Sophia,sophia134@hotmail.com,+18460993805,Phone,Running shoes,No,"Defective piece, had to return."
Liam,liam135@gmail.com,+11376641411,Headphones,Smartwatch,No,"Excellent product, highly recommend!"
Noah,noah136@outlook.com,+18684745283,Phone,Running shoes,Yes,"Average quality, expected better."
Liam,liam137@yahoo.com,+19795832948,Watch,Best phone,Yes,"Works perfectly, will buy again."
Liam,liam138@outlook.com,+11033734607,Headphones,Gaming laptop,Yes,"Average quality, expected better."
Bob,bob139@yahoo.com,+18017501899,Watch,Running shoes,No,"Defective piece, had to return."
Charlie,charlie140@hotmail.com,+15918215218,Laptop,Smartwatch,Yes,"Excellent product, highly recommend!"
Sophia,sophia141@yahoo.com,+19726402727,Headphones,Gaming laptop,Yes,"Defective piece, had to return."
Charlie,charlie142@hotmail.com,+13730804957,Laptop,Smartwatch,Yes,"Average quality, expected better."
Bob,bob143@yahoo.com,+14606692555,Headphones,Best phone,No,Not worth the price.
Charlie,charlie144@hotmail.com,+15204214009,Watch,Gaming laptop,Yes,"Works perfectly, will buy again."
Charlie,charlie145@hotmail.com,+14182484634,Shoes,Best phone,Yes,"Average quality, expected better."
Noah,noah146@outlook.com,+17719810894,Bag,Gaming laptop,Yes,Not worth the price.
Alice,alice147@hotmail.com,+17504426995,Phone,Best phone,Yes,"Average quality, expected better."
Emma,emma148@gmail.com,+19078267998,Shoes,Gaming laptop,No,Not worth the price.
Alice,alice149@yahoo.com,+11483783808,Headphones,Best phone,No,"Defective piece, had to return."
Bob,bob150@gmail.com,+19171885301,Laptop,Smartwatch,No,"Works perfectly, will buy again."
David,david151@hotmail.com,+11030705801,Headphones,Running shoes,No,"Good quality, but delivery was slow."
Noah,noah152@gmail.com,+15178033122,Watch,Running shoes,No,Not worth the price.
Alice,alice153@gmail.com,+19606161264,Phone,Best phone,No,Best purchase ever!
Charlie,charlie154@yahoo.com,+17763799619,Phone,Smartwatch,No,Best purchase ever!
David,david155@hotmail.com,+11159894754,Bag,Best phone,No,"Good quality, but delivery was slow."
David,david156@outlook.com,+13072302346,Watch,Best phone,No,"Average quality, expected better."
Alice,alice157@outlook.com,+19831107417,Laptop,Wireless headphones,Yes,"Average quality, expected better."
Liam,liam158@gmail.com,+12197540573,Phone,Wireless headphones,No,Great value for money!
David,david159@outlook.com,+12577198174,Headphones,Wireless headphones,No,"Works perfectly, will buy again."
Noah,noah160@hotmail.com,+12022722971,Bag,Gaming laptop,No,"Works perfectly, will buy again."
Noah,noah161@yahoo.com,+13504517226,Laptop,Smartwatch,Yes,"Defective piece, had to return."
Liam,liam162@gmail.com,+15036984398,Phone,Running shoes,Yes,"Defective piece, had to return."
David,david163@gmail.com,+17975541098,Bag,Best phone,Yes,Great value for money!
David,david164@gmail.com,+15110704707,Laptop,Smartwatch,Yes,"Defective piece, had to return."
Charlie,charlie165@hotmail.com,+18183466286,Phone,Running shoes,No,"Defective piece, had to return."
Alice,alice166@outlook.com,+14642625918,Phone,Best phone,Yes,"Average quality, expected better."
David,david167@hotmail.com,+18839364401,Bag,Wireless headphones,Yes,Not worth the price.
Noah,noah168@yahoo.com,+13549167506,Shoes,Gaming laptop,No,"Defective piece, had to return."
Noah,noah169@yahoo.com,+15130419088,Shoes,Wireless headphones,No,Best purchase ever!
Charlie,charlie170@yahoo.com,+15675861683,Shoes,Wireless headphones,Yes,Not worth the price.
David,david171@hotmail.com,+18953865488,Shoes,Running shoes,No,"Excellent product, highly recommend!"
David,david172@gmail.com,+11440049672,Headphones,Best phone,Yes,"Defective piece, had to return."
Noah,noah173@gmail.com,+16683431675,Bag,Wireless headphones,No,"Defective piece, had to return."
Alice,alice174@yahoo.com,+18985686296,Shoes,Gaming laptop,Yes,"Average quality, expected better."
David,david175@yahoo.com,+17778618924,Laptop,Best phone,No,Best purchase ever!
Charlie,charlie176@yahoo.com,+14173489958,Watch,Best phone,Yes,"Average quality, expected better."
Charlie,charlie177@gmail.com,+18933239502,Phone,Smartwatch,No,"Good quality, but delivery was slow."
Alice,alice178@yahoo.com,+19609057147,Bag,Gaming laptop,No,"Good quality, but delivery was slow."
David,david179@gmail.com,+16833032556,Watch,Gaming laptop,Yes,"Excellent product, highly recommend!"
Sophia,sophia180@gmail.com,+17612665212,Laptop,Wireless headphones,Yes,Not worth the price.
Bob,bob181@hotmail.com,+19257812567,Phone,Running shoes,Yes,"Excellent product, highly recommend!"
Alice,alice182@outlook.com,+18833376310,Phone,Running shoes,Yes,"Good quality, but delivery was slow."
Alice,alice183@outlook.com,+13143048150,Laptop,Running shoes,No,"Excellent product, highly recommend!"
Bob,bob184@hotmail.com,+15898952288,Headphones,Best phone,Yes,"Works perfectly, will buy again."
Sophia,sophia185@hotmail.com,+19486283318,Watch,Running shoes,Yes,"Works perfectly, will buy again."
Noah,noah186@outlook.com,+14770382462,Phone,Best phone,Yes,Best purchase ever!
Emma,emma187@yahoo.com,+17032394962,Shoes,Best phone,No,Not worth the price.
Sophia,sophia188@hotmail.com,+14319990295,Bag,Smartwatch,No,Great value for money!
Liam,liam189@hotmail.com,+11990241698,Bag,Gaming laptop,Yes,"Average quality, expected better."
David,david190@outlook.com,+17248528972,Phone,Wireless headphones,No,Great value for money!
Charlie,charlie191@outlook.com,+19888731008,Phone,Running shoes,Yes,"Excellent product, highly recommend!"
Noah,noah192@outlook.com,+11746763897,Phone,Smartwatch,Yes,"Works perfectly, will buy again."
Sophia,sophia193@gmail.com,+19139577894,Shoes,Best phone,Yes,"Works perfectly, will buy again."
Sophia,sophia194@hotmail.com,+16306882174,Watch,Smartwatch,Yes,Great value for money!
Liam,liam195@hotmail.com,+14101565005,Watch,Gaming laptop,Yes,"Excellent product, highly recommend!"
Liam,liam196@hotmail.com,+15750991650,Shoes,Running shoes,No,Best purchase ever!
Emma,emma197@gmail.com,+15375695756,Watch,Gaming laptop,Yes,Best purchase ever!
Charlie,charlie198@gmail.com,+14689566728,Phone,Gaming laptop,Yes,"Good quality, but delivery was slow."
Bob,bob199@gmail.com,+12720004948,Bag,Running shoes,No,"Good quality, but delivery was slow."
Emma,emma200@gmail.com,+11980508445,Phone,Wireless headphones,Yes,"Defective piece, had to return."
Bob,bob201@yahoo.com,+19541345737,Bag,Best phone,Yes,Great value for money!
Bob,bob202@hotmail.com,+19559316788,Shoes,Smartwatch,Yes,"Good quality, but delivery was slow."
Charlie,charlie203@outlook.com,+19531157534,Laptop,Gaming laptop,Yes,"Works perfectly, will buy again."
Alice,alice204@gmail.com,+17560886837,Bag,Best phone,Yes,"Good quality, but delivery was slow."
Bob,bob205@hotmail.com,+17017097093,Shoes,Best phone,No,"Average quality, expected better."
Charlie,charlie206@yahoo.com,+11641376763,Laptop,Running shoes,Yes,"Works perfectly, will buy again."
David,david207@hotmail.com,+11161081027,Phone,Best phone,Yes,Not worth the price.
David,david208@outlook.com,+19842092131,Phone,Wireless headphones,Yes,Best purchase ever!
Bob,bob209@gmail.com,+14022460783,Headphones,Gaming laptop,Yes,"Defective piece, had to return."
Sophia,sophia210@yahoo.com,+15670253144,Watch,Best phone,Yes,"Defective piece, had to return."
Sophia,sophia211@outlook.com,+19549922519,Shoes,Running shoes,Yes,"Defective piece, had to return."
David,david212@gmail.com,+15932888482,Shoes,Wireless headphones,No,"Works perfectly, will buy again."
Noah,noah213@gmail.com,+13996553978,Phone,Gaming laptop,Yes,"Works perfectly, will buy again."
Alice,alice214@gmail.com,+17201305588,Shoes,Running shoes,No,"Works perfectly, will buy again."
Sophia,sophia215@outlook.com,+17130214154,Phone,Smartwatch,Yes,Great value for money!
Sophia,sophia216@outlook.com,+19633506307,Phone,Gaming laptop,Yes,Great value for money!
Liam,liam217@yahoo.com,+11070054692,Bag,Best phone,Yes,"Excellent product, highly recommend!"
Emma,emma218@hotmail.com,+18949059193,Watch,Gaming laptop,Yes,Not worth the price.
David,david219@outlook.com,+11196181760,Bag,Best phone,No,Not worth the price.
Noah,noah220@hotmail.com,+12274836284,Laptop,Wireless headphones,Yes,Great value for money!
Charlie,charlie221@yahoo.com,+14468317645,Headphones,Gaming laptop,Yes,Not worth the price.
Alice,alice222@outlook.com,+12496302134,Shoes,Best phone,Yes,"Average quality, expected better."
Alice,alice223@hotmail.com,+13269018750,Watch,Running shoes,Yes,"Excellent product, highly recommend!"
David,david224@gmail.com,+18327195574,Phone,Smartwatch,No,"Excellent product, highly recommend!"
Emma,emma225@hotmail.com,+17363571864,Laptop,Smartwatch,Yes,"Defective piece, had to return."
David,david226@yahoo.com,+15621034483,Shoes,Running shoes,Yes,Great value for money!
Noah,noah227@hotmail.com,+16220815066,Headphones,Smartwatch,Yes,"Good quality, but delivery was slow."
Sophia,sophia228@yahoo.com,+18999610637,Laptop,Wireless headphones,No,Best purchase ever!
Noah,noah229@yahoo.com,+11034784042,Bag,Running shoes,No,"Excellent product, highly recommend!"
Liam,liam230@gmail.com,+15937860659,Shoes,Wireless headphones,Yes,"Defective piece, had to return."
Bob,bob231@outlook.com,+16396178272,Bag,Wireless headphones,No,Great value for money!
Emma,emma232@yahoo.com,+14272527368,Watch,Gaming laptop,No,"Defective piece, had to return."
Liam,liam233@outlook.com,+13354399576,Bag,Smartwatch,Yes,"Works perfectly, will buy again."
Liam,liam234@gmail.com,+19231961401,Headphones,Wireless headphones,No,Not worth the price.
Charlie,charlie235@gmail.com,+12923528705,Bag,Wireless headphones,Yes,"Excellent product, highly recommend!"
Emma,emma236@yahoo.com,+16349378562,Watch,Best phone,No,"Excellent product, highly recommend!"
Noah,noah237@outlook.com,+15391888315,Headphones,Smartwatch,Yes,Not worth the price.
Alice,alice238@outlook.com,+16543766343,Shoes,Smartwatch,No,"Works perfectly, will buy again."
Sophia,sophia239@gmail.com,+18656804250,Headphones,Gaming laptop,No,"Works perfectly, will buy again."
Emma,emma240@gmail.com,+16166104583,Bag,Wireless headphones,No,Great value for money!
Emma,emma241@hotmail.com,+19182066515,Laptop,Smartwatch,Yes,Best purchase ever!
Charlie,charlie242@hotmail.com,+17799666952,Bag,Wireless headphones,Yes,"Defective piece, had to return."
Alice,alice243@gmail.com,+15769952250,Shoes,Smartwatch,Yes,"Works perfectly, will buy again."
Sophia,sophia244@gmail.com,+14162630832,Watch,Best phone,No,"Excellent product, highly recommend!"
Liam,liam245@hotmail.com,+16471364773,Shoes,Running shoes,No,"Defective piece, had to return."
Emma,emma246@outlook.com,+13733689930,Headphones,Running shoes,Yes,"Good quality, but delivery was slow."
Alice,alice247@gmail.com,+17671592331,Bag,Best phone,No,"Defective piece, had to return."
Emma,emma248@gmail.com,+12691970127,Shoes,Best phone,No,Great value for money!
Emma,emma249@yahoo.com,+16264095829,Phone,Best phone,No,"Excellent product, highly recommend!"
Emma,emma250@outlook.com,+12506073435,Watch,Running shoes,Yes,"Works perfectly, will buy again."
Bob,bob251@outlook.com,+19008643260,Phone,Best phone,Yes,Not worth the price.
Charlie,charlie252@outlook.com,+16559541761,Watch,Gaming laptop,Yes,"Good quality, but delivery was slow."
Alice,alice253@yahoo.com,+16117500043,Headphones,Best phone,No,"Average quality, expected better."
Alice,alice254@outlook.com,+12893513840,Phone,Best phone,No,"Defective piece, had to return."
Alice,alice255@yahoo.com,+19318448854,Watch,Running shoes,No,Not worth the price.
Alice,alice256@gmail.com,+17545972191,Shoes,Wireless headphones,Yes,Not worth the price.
David,david257@yahoo.com,+17507839427,Headphones,Gaming laptop,No,"Works perfectly, will buy again."
Charlie,charlie258@outlook.com,+12175903829,Phone,Gaming laptop,Yes,"Works perfectly, will buy again."
Liam,liam259@outlook.com,+17669736822,Headphones,Best phone,Yes,Not worth the price.
Noah,noah260@hotmail.com,+17206594362,Headphones,Smartwatch,Yes,Best purchase ever!
David,david261@gmail.com,+14279065357,Phone,Running shoes,No,Best purchase ever!
Sophia,sophia262@yahoo.com,+19324376851,Bag,Wireless headphones,Yes,"Good quality, but delivery was slow."
Alice,alice263@yahoo.com,+12362538609,Watch,Running shoes,Yes,"Average quality, expected better."
Charlie,charlie264@yahoo.com,+13642402556,Shoes,Smartwatch,Yes,Not worth the price.
Noah,noah265@outlook.com,+17138082275,Phone,Smartwatch,Yes,"Defective piece, had to return."
Emma,emma266@yahoo.com,+16625385919,Phone,Gaming laptop,Yes,"Average quality, expected better."
Emma,emma267@hotmail.com,+17148081722,Headphones,Gaming laptop,Yes,Best purchase ever!
Alice,alice268@gmail.com,+12881295712,Phone,Running shoes,Yes,Not worth the price.
Sophia,sophia269@yahoo.com,+11308277170,Shoes,Running shoes,No,"Average quality, expected better."
David,david270@outlook.com,+15079413337,Shoes,Running shoes,No,"Works perfectly, will buy again."
Liam,liam271@outlook.com,+12198666533,Laptop,Wireless headphones,No,"Average quality, expected better."
Liam,liam272@hotmail.com,+14643492331,Bag,Running shoes,No,"Average quality, expected better."
Alice,alice273@hotmail.com,+11964908382,Phone,Wireless headphones,Yes,Not worth the price.
Charlie,charlie274@hotmail.com,+17506949153,Bag,Gaming laptop,No,"Excellent product, highly recommend!"
Liam,liam275@hotmail.com,+19386089724,Phone,Best phone,Yes,"Defective piece, had to return."
Bob,bob276@outlook.com,+18387963600,Laptop,Running shoes,Yes,"Average quality, expected better."
Noah,noah277@gmail.com,+15265582883,Phone,Running shoes,Yes,Not worth the price.
Sophia,sophia278@gmail.com,+11985901439,Phone,Wireless headphones,Yes,"Average quality, expected better."
Noah,noah279@yahoo.com,+13161640248,Headphones,Wireless headphones,Yes,"Good quality, but delivery was slow."
Sophia,sophia280@yahoo.com,+18082898793,Bag,Gaming laptop,No,"Excellent product, highly recommend!"
Sophia,sophia281@yahoo.com,+17765080491,Headphones,Best phone,No,Best purchase ever!
David,david282@gmail.com,+13816728023,Shoes,Wireless headphones,Yes,"Good quality, but delivery was slow."
Bob,bob283@gmail.com,+18370565774,Laptop,Running shoes,No,Best purchase ever!
Alice,alice284@outlook.com,+13679639786,Watch,Gaming laptop,No,Great value for money!
Noah,noah285@yahoo.com,+19006103601,Phone,Wireless headphones,No,Best purchase ever!
Noah,noah286@outlook.com,+12830675598,Shoes,Running shoes,Yes,Best purchase ever!
David,david287@gmail.com,+11599444346,Laptop,Gaming laptop,Yes,"Average quality, expected better."
Liam,liam288@hotmail.com,+19070004201,Headphones,Wireless headphones,Yes,Best purchase ever!
Alice,alice289@outlook.com,+16311838480,Bag,Smartwatch,No,"Works perfectly, will buy again."
Emma,emma290@gmail.com,+19119617057,Bag,Gaming laptop,No,Best purchase ever!
Charlie,charlie291@yahoo.com,+16012633489,Bag,Smartwatch,Yes,Great value for money!
Bob,bob292@yahoo.com,+18794347631,Watch,Best phone,No,"Defective piece, had to return."
Noah,noah293@hotmail.com,+17783995480,Phone,Gaming laptop,Yes,"Good quality, but delivery was slow."
Noah,noah294@outlook.com,+15874237442,Watch,Smartwatch,No,Not worth the price.
David,david295@outlook.com,+18587927142,Headphones,Best phone,Yes,"Works perfectly, will buy again."
Sophia,sophia296@hotmail.com,+16509691493,Shoes,Wireless headphones,Yes,"Good quality, but delivery was slow."
Noah,noah297@hotmail.com,+11731611232,Bag,Best phone,No,"Defective piece, had to return."
Charlie,charlie298@hotmail.com,+18851734586,Watch,Best phone,Yes,"Defective piece, had to return."
Bob,bob299@hotmail.com,+18750721518,Bag,Wireless headphones,Yes,"Defective piece, had to return."
